,name,V,P,Distance,countPeople,Price
100,8754791.887052342,0.0,603.0,16692.0,1.0,14184480.0
101,3208367.9247015608,0.0,408.0,30000.0,1.0,3300000.0
102,2908367.9247015608,0.0,170.0,68000.0,1.0,1750000.0
103,2518034.5913682277,1.5,169.0,77211.0,1.0,1879000.0
104,1358367.924701561,1.3,58.0,56000.0,2.0,500000.0
105,2625034.5913682277,1.5,116.0,943.0,1.0,1600000.0
106,1623367.924701561,2.2,105.0,91000.0,3.0,1050000.0
107,6158367.924701561,2.5,304.0,39000.0,0.0,6250000.0
108,1384701.2580348945,2.8,92.0,167264.0,2.0,499000.0
109,3341367.9247015608,3.1,135.0,150000.0,2.0,1499000.0
110,1643367.924701561,1.8,140.0,191000.0,2.0,920000.0
111,1735051.8870523416,2.0,68.0,129000.0,1.0,145000.0
112,1698367.924701561,1.6,120.0,202500.0,4.0,520000.0
113,1218367.924701561,2.4,90.0,90000.0,1.0,210000.0
114,1898034.5913682275,2.0,150.0,240000.0,2.0,1420000.0
115,1215034.5913682277,1.5,88.0,250000.0,4.0,220000.0
116,3831701.2580348942,5.4,145.0,43000.0,1.0,7970000.0
117,5041701.258034894,0.0,490.0,0.0,0.0,5500000.0
118,6208367.924701561,1.5,422.0,15000.0,1.0,6500000.0
119,1215034.5913682277,1.8,100.0,173716.0,4.0,150000.0
120,14734060.258034894,3.6,400.0,21093.0,0.0,9297077.0
121,1375034.2580348945,2.1,101.0,270000.0,3.0,420000.0
122,1769367.924701561,1.6,115.0,216000.0,0.0,1033000.0
123,2911701.2580348942,1.2,116.0,67000.0,1.0,2050000.0
124,1350034.5913682277,1.8,125.0,230000.0,4.0,535000.0
125,1565034.5913682275,1.2,65.0,318000.0,0.0,190000.0
126,2108367.9247015608,1.2,79.0,107000.0,0.0,1000000.0
127,1690034.5913682275,3.5,280.0,287000.0,4.0,800000.0
128,2212551.8870523414,1.5,149.0,42000.0,1.0,1100000.0
129,16108367.924701562,6.7,460.0,21700.0,2.0,29000000.0
130,1378367.924701561,1.8,120.0,143000.0,4.0,650000.0
131,1317034.5913682277,1.6,81.0,215000.0,3.0,450000.0
